Sample Name,Replicate,Wavelength,Absorbance,Toxgreen Dir,Percent GpA,Day
2F12,3,512,8086,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,33.60345759049162,2024-4-13_toxgreen
LC3,3,512,13117,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,54.51107509454349,2024-4-13_toxgreen
RD52,3,512,3276,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,13.614262560777956,2024-4-13_toxgreen
LD50,3,512,6725,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,27.947471221377217,2024-4-13_toxgreen
RWT40,3,512,12466,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,51.805676765158125,2024-4-13_toxgreen
YF9,3,512,14664,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,60.94003241491086,2024-4-13_toxgreen
NoTM,3,512,0,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,0.0,2024-4-13_toxgreen
Gpa,3,512,19385,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,80.55936500020778,2024-4-13_toxgreen
RC1,3,512,10932,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,45.430744296222414,2024-4-13_toxgreen
1G2,3,512,4229,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,17.574699746498773,2024-4-13_toxgreen
LD50,2,512,10076,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,41.87341561733782,2024-4-13_toxgreen
G83I,2,512,2539,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,10.55146906038316,2024-4-13_toxgreen
RWT40,2,512,11150,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,46.336699497153305,2024-4-13_toxgreen
2F12,2,512,8691,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,36.117691060964965,2024-4-13_toxgreen
1G2,2,512,5135,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,21.339816315505132,2024-4-13_toxgreen
RWT39,2,512,13300,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,55.27157877238914,2024-4-13_toxgreen
RD39,2,512,10891,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,45.26035822632257,2024-4-13_toxgreen
RC2,2,512,9509,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,39.51710094335702,2024-4-13_toxgreen
YF9,2,512,12836,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,53.34330715205918,2024-4-13_toxgreen
RD52,2,512,6247,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,25.961018991813155,2024-4-13_toxgreen
RC1,2,512,8126,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,33.769687902589034,2024-4-13_toxgreen
LC3,2,512,11589,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,48.16107717242239,2024-4-13_toxgreen
NoTM,2,512,0,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,0.0,2024-4-13_toxgreen
LWT11,2,512,14282,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,59.352532934380584,2024-4-13_toxgreen
Gpa,2,512,25437,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,105.71001122054606,2024-4-13_toxgreen
L8,2,512,16809,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-13_toxgreen,69.85413290113452,2024-4-13_toxgreen
Gpa,1,512,22771,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,112.91964890821032,2024-4-18_toxgreen
G83I,1,512,4313,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,21.38783741342546,2024-4-18_toxgreen
NoTM,1,512,0,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,0.0,2024-4-18_toxgreen
2F12,1,512,7077,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,35.09430219680315,2024-4-18_toxgreen
2H11,1,512,26658,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,132.19498487528307,2024-4-18_toxgreen
1G2,1,512,3932,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,19.498487528307187,2024-4-18_toxgreen
RD2,1,512,9974,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,49.46030381671818,2024-4-18_toxgreen
LD23,1,512,10560,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,52.36623303634891,2024-4-18_toxgreen
LC4,1,512,9552,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,47.367638064697424,2024-4-18_toxgreen
LD21,1,512,17164,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,85.11496437839892,2024-4-18_toxgreen
LWT3,1,512,14874,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,73.75902937335735,2024-4-18_toxgreen
RWT3,1,512,15044,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,74.60204638246523,2024-4-18_toxgreen
L8,1,512,11138,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,55.23249086731573,2024-4-18_toxgreen
L4,1,512,11672,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,57.88055606063111,2024-4-18_toxgreen
RC8,1,512,14621,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,72.50442170686149,2024-4-18_toxgreen
RC11,1,512,11213,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,55.6044101360398,2024-4-18_toxgreen
LD9,1,512,10962,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,54.35972031670991,2024-4-18_toxgreen
LC9,1,512,12682,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,62.88906887944856,2024-4-18_toxgreen
RWT34,1,512,13502,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,66.95538621749839,2024-4-18_toxgreen
