xShift,crossingAngle,axialRotation,zShift,energy
9.1,22.0,-58.3333,5.375,-6.1119
9.5,24.0,-13.3333,0.65,-5.028249
8.7,24.0,-65.0,2.325,-5.142519
9.5,26.0,-45.0,0.675,-1.103601
9.5,24.0,-90.0,6.75,-1.476247
9.3,22.0,-101.667,6.475,-3.235196
8.9,28.0,-106.667,2.5,-5.957695
9.1,24.0,-65.0,3.675,4.023334
9.3,26.0,-103.333,6.05,-3.655491
9.5,22.0,-61.6667,4.525,-4.382547
9.3,20.0,-61.6667,1.825,-5.87309
9.3,22.0,-91.6667,3.625,9.30426
8.7,20.0,-65.0,0.975,-10.12558
9.3,18.0,-20.0,1.65,6.146106
9.3,26.0,-113.333,6.2,-0.096027
9.3,18.0,-58.3333,5.375,-5.701582
9.5,24.0,-95.0,5.475,-2.430344
9.3,26.0,-103.333,3.35,-4.871645
9.1,18.0,-53.3333,1.25,-2.458547
9.1,26.0,-110.0,7.05,-0.741987
8.5,22.0,-65.0,2.325,-3.554248
8.9,20.0,-103.333,3.35,-1.878371
8.7,22.0,-55.0,3.525,-7.283052
9.5,22.0,-106.667,5.2,-2.611049
9.5,18.0,-55.0,6.225,-4.794161
8.7,20.0,-15.0,0.225,-10.409581
8.9,24.0,-101.667,5.125,-5.142357
9.3,26.0,-41.6667,4.225,3.082038
8.7,24.0,-55.0,2.175,6.905656
8.5,24.0,-11.6667,1.075,-10.082868
9.1,24.0,-113.333,3.5,-3.363658
9.5,26.0,-20.0,0.3,-1.861434
9.3,26.0,-58.3333,2.675,-5.384253
9.1,26.0,-13.3333,2.0,-4.515975
8.9,22.0,-15.0,1.575,-5.650248
8.7,22.0,-110.0,3.0,-1.244252
9.3,28.0,-85.0,6.675,4.160526
8.7,24.0,-106.667,2.5,-1.850501
9.5,28.0,-93.3333,3.2,-0.91531
9.5,22.0,-48.3333,3.875,-4.308881
9.5,24.0,-43.3333,1.1,0.10813
9.5,18.0,-38.3333,3.725,1.742583
