"","Distance","Angle","Z1","Z2","Rot1","Rot2"
"343",9.40048,-34.3571,3.90399,3.69227,27.555,30.1875
"344",10.6068,-32.3091,5.36355,4.23935,74.6161,26.2348
"345",7.03715,-36.9509,1.4208,5.75243,29.8751,74.1323
"346",10.385,-8.52077,1.95418,3.29026,96.8961,45.3061
"347",6.98762,-32.0478,1.48586,5.67703,32.2893,65.9869
"348",8.21355,-48.0707,0.592033,5.77632,87.7844,36.9675
"349",7.21176,-29.7298,3.65657,1.50921,27.448,86.2496
"350",9.83009,40.3824,0.73097,0.938094,17.5099,4.63791
"351",8.13007,-40.9278,1.37611,0.0750245,27.9056,75.0681
"352",7.31499,-30.2503,2.17798,1.4742,29.4122,60.2951
"353",11.7142,84.5143,3.43862,3.93386,77.5971,23.892
"354",10.6871,10.1129,0.26125,5.8849,44.3611,6.08022
"355",8.7978,41.3334,5.81293,3.17895,0.162233,16.6744
"356",8.72806,43.5114,2.25037,4.98628,27.3482,8.1417
"357",8.69875,24.3934,1.61464,4.42502,99.1223,77.4753
"358",9.97841,-39.8395,2.98999,0.947426,25.1443,7.97025
"359",9.5434,36.8041,2.14029,4.30891,96.3284,79.64
"360",8.74057,38.4119,5.24735,3.82027,92.7821,65.4514
"361",8.26761,30.8078,2.7648,5.92081,51.3946,46.5472
"362",8.771,27.1396,5.61612,5.3423,68.8427,74.5832
"363",8.16779,-41.3877,1.18907,1.13455,53.2106,44.8277
"364",8.89839,-45.1495,4.43345,5.6492,65.4818,33.6773
"365",9.03942,-45.0776,5.21,5.23782,73.7089,39.2664
"366",9.20841,27.1388,5.79203,5.27271,45.3437,89.2042
"367",8.91124,-42.7602,4.97348,4.94201,39.5101,73.9067
"368",12.3213,-59.5426,4.06431,5.4267,90.256,94.0538
"369",10.4765,46.5917,0.810874,3.04373,69.1688,15.4316
"370",8.03256,-33.7768,5.47077,3.9553,95.07,45.1094
"371",10.5748,35.1844,5.72113,5.86198,97.4974,54.9042
"372",6.86062,-35.3193,1.59692,0.445915,34.6963,59.8476
"373",10.5745,35.1892,5.72785,5.86881,97.4399,54.847
"374",9.67684,-50.351,3.18033,4.6747,22.9541,14.3894
"375",11.8775,34.3176,2.13803,2.04315,19.0784,52.3464
"376",8.05639,-36.2418,2.24991,5.16622,80.7645,34.3125
"377",10.3431,-39.8078,1.98229,3.66818,94.3741,29.1765
"378",6.97238,-44.4896,2.9426,5.58699,90.5523,19.277
"379",8.06449,-69.7176,3.7429,2.93429,77.2564,32.7495
"380",8.31497,-60.4475,4.7695,3.33026,71.4807,29.2863
"381",6.50706,-44.5505,1.95112,1.74086,49.1773,48.0057
"382",10.4183,63.1607,4.22614,1.9837,63.1741,9.92256
"383",8.5156,77.4146,2.85193,2.82854,28.7152,29.2978
"384",9.93555,-61.3536,4.19844,5.92642,45.3943,66.3662
"385",10.2265,-61.7264,4.11726,5.92218,44.7402,67.0873
"386",9.68177,-13.8723,2.46757,2.55066,92.9047,76.713
"387",8.5644,-45.0496,3.3159,2.46253,76.1967,52.5044
"388",9.46472,-60.1068,1.35805,5.13122,61.6502,47.867
"389",9.56957,-38.9627,2.66543,2.15767,61.4207,40.8695
"390",9.93207,-37.5688,1.81636,1.75839,19.0346,16.5385
"391",8.28322,-63.6865,3.3072,4.07208,15.6755,90.8819
"392",8.50702,-62.0227,4.56751,1.66414,0.503921,14.1669
"393",9.89652,29.0923,2.11065,1.08766,49.3153,64.0855
"394",8.88448,-38.9483,5.76412,4.37553,51.1401,60.2064
"395",7.12854,-34.1866,5.99997,1.90036,68.931,27.8203
"396",8.25084,-34.3335,4.90106,4.27952,21.5933,38.6783
"397",6.97181,-44.3138,1.98528,4.07864,90.5158,19.9518
"398",6.31562,-47.7185,3.19887,2.81784,48.7081,57.0392
"399",8.47955,-68.8966,0.186835,3.10042,37.2224,59.2302
"400",8.25301,-36.5873,4.28061,3.77547,69.5242,40.9482
"401",6.49798,-45.0263,0.937691,0.548223,39.976,59.0163
"402",10.9499,-55.8314,0.00251722,4.59684,25.051,26.2104
"403",9.24429,-68.0422,5.26048,0.583519,35.0921,14.3752
"404",9.04295,-67.8116,0.61424,4.80353,16.4548,38.602
"405",9.14561,-64.3508,0.48548,5.01186,18.3718,41.8859
"406",10.3841,-46.8299,2.11464,0.322447,55.6715,65.353
"407",8.00195,13.9889,3.82089,5.76895,32.6207,8.12418
"408",8.31639,-52.2748,3.95007,4.94557,51.873,45.8022
"409",7.92892,-42.8029,4.11823,4.17795,57.187,33.7343
"410",9.2686,22.1062,5.28403,4.11424,31.3506,32.6091
"411",11.0445,32.6056,5.12252,5.92828,4.0623,87.0344
"412",8.78721,-53.2248,4.21754,0.0374262,67.2326,41.5689
"413",8.7873,-53.2264,0.0373231,4.2179,41.5696,67.2226
"414",11.5251,-50.1597,4.66093,4.54761,44.1731,42.8409
"415",8.56428,30.8119,1.18741,2.28355,58.1567,50.1355
